REGION TYPE,REGION,YEAR,WEEK,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 25-49,AGE 25-64,AGE 5-24,AGE 50-64,AGE 65,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
States,New Jersey,2017,40,X,1.8328,X,X,X,X,X,X,481,41,26244
States,New Mexico,2017,40,X,0.7969,X,X,X,X,X,X,146,41,18321
States,New York,2017,40,X,1.19834,X,X,X,X,X,X,147,52,12267
States,North Carolina,2017,40,X,1.06519,X,X,X,X,X,X,150,45,14082
States,North Dakota,2017,40,X,0.0759878,X,X,X,X,X,X,1,7,1316
States,Ohio,2017,40,X,0.500781,X,X,X,X,X,X,93,57,18571
States,Oklahoma,2017,40,X,1.15584,X,X,X,X,X,X,87,22,7527
States,Oregon,2017,40,X,0.844804,X,X,X,X,X,X,286,74,33854
States,Pennsylvania,2017,40,X,0.787036,X,X,X,X,X,X,611,147,77633
States,Rhode Island,2017,40,X,0.391572,X,X,X,X,X,X,21,22,5363
States,South Carolina,2017,40,X,1.87995,X,X,X,X,X,X,140,15,7447
States,South Dakota,2017,40,X,1.322,X,X,X,X,X,X,126,31,9531
States,Tennessee,2017,40,X,0.485437,X,X,X,X,X,X,46,50,9476
States,Texas,2017,40,X,2.15321,X,X,X,X,X,X,642,111,29816
States,Utah,2017,40,X,0.144053,X,X,X,X,X,X,37,47,25685
States,Vermont,2017,40,X,0.711427,X,X,X,X,X,X,16,9,2249
States,Virginia,2017,40,X,1.26377,X,X,X,X,X,X,1097,126,86804
States,Washington,2017,40,X,0.196496,X,X,X,X,X,X,12,48,6107
States,West Virginia,2017,40,X,0.945554,X,X,X,X,X,X,124,32,13114
States,Wisconsin,2017,40,X,1.9377,X,X,X,X,X,X,130,24,6709
States,Wyoming,2017,40,X,1.15756,X,X,X,X,X,X,54,22,4665
States,Alabama,2017,41,X,1.83081,X,X,X,X,X,X,738,86,40310
States,Alaska,2017,41,X,2.74487,X,X,X,X,X,X,139,17,5064
States,Arizona,2017,41,X,2.12645,X,X,X,X,X,X,373,43,17541
States,Arkansas,2017,41,X,1.09866,X,X,X,X,X,X,51,16,4642
States,California,2017,41,X,1.53534,X,X,X,X,X,X,733,106,47742
States,Colorado,2017,41,X,0.61809,X,X,X,X,X,X,142,42,22974
States,Connecticut,2017,41,X,1.0367,X,X,X,X,X,X,50,19,4823
States,Delaware,2017,41,X,0.0703235,X,X,X,X,X,X,2,13,2844
States,District of Columbia,2017,41,X,1.96893,X,X,X,X,X,X,275,5,13967
States,Florida,2017,41,X,X,X,X,X,X,X,X,X,X,X
States,Georgia,2017,41,X,2.01788,X,X,X,X,X,X,982,50,48665
States,Hawaii,2017,41,X,1.09215,X,X,X,X,X,X,16,16,1465
States,Idaho,2017,41,X,0.441176,X,X,X,X,X,X,6,6,1360
States,Illinois,2017,41,X,1.27165,X,X,X,X,X,X,583,78,45846
States,Indiana,2017,41,X,1.3458,X,X,X,X,X,X,59,24,4384
States,Iowa,2017,41,X,0.345469,X,X,X,X,X,X,13,14,3763
States,Kansas,2017,41,X,1.04632,X,X,X,X,X,X,75,31,7168
States,Kentucky,2017,41,X,0.995265,X,X,X,X,X,X,103,30,10349
States,Louisiana,2017,41,X,2.35066,X,X,X,X,X,X,1286,94,54708
States,Maine,2017,41,X,0.588078,X,X,X,X,X,X,22,24,3741
States,Maryland,2017,41,X,0.945495,X,X,X,X,X,X,85,39,8990
States,Massachusetts,2017,41,X,0.891701,X,X,X,X,X,X,296,43,33195
States,Michigan,2017,41,X,1.18879,X,X,X,X,X,X,311,82,26161
States,Minnesota,2017,41,X,1.43321,X,X,X,X,X,X,106,24,7396
States,Mississippi,2017,41,X,2.23881,X,X,X,X,X,X,318,42,14204
States,Missouri,2017,41,X,0.523918,X,X,X,X,X,X,23,20,4390
States,Montana,2017,41,X,0.0620732,X,X,X,X,X,X,2,8,3222
States,Nebraska,2017,41,X,1.32443,X,X,X,X,X,X,119,48,8985
States,Nevada,2017,41,X,0.651595,X,X,X,X,X,X,115,35,17649
States,New Hampshire,2017,41,X,0.387919,X,X,X,X,X,X,14,18,3609
States,New Jersey,2017,41,X,1.8675,X,X,X,X,X,X,464,40,24846
States,New Mexico,2017,41,X,0.729223,X,X,X,X,X,X,121,38,16593
States,New York,2017,41,X,1.0355,X,X,X,X,X,X,133,55,12844
States,North Carolina,2017,41,X,1.28615,X,X,X,X,X,X,189,47,14695
States,North Dakota,2017,41,X,0.412371,X,X,X,X,X,X,6,7,1455
States,Ohio,2017,41,X,0.623098,X,X,X,X,X,X,129,63,20703
States,Oklahoma,2017,41,X,1.85164,X,X,X,X,X,X,163,25,8803
States,Oregon,2017,41,X,0.932869,X,X,X,X,X,X,311,78,33338
States,Pennsylvania,2017,41,X,0.852218,X,X,X,X,X,X,534,144,62660
States,Rhode Island,2017,41,X,0.273742,X,X,X,X,X,X,13,23,4749
States,South Carolina,2017,41,X,1.55515,X,X,X,X,X,X,119,15,7652
States,South Dakota,2017,41,X,1.42037,X,X,X,X,X,X,141,31,9927
States,Tennessee,2017,41,X,0.516129,X,X,X,X,X,X,48,54,9300
States,Texas,2017,41,X,2.22464,X,X,X,X,X,X,654,113,29398
States,Utah,2017,41,X,0.158764,X,X,X,X,X,X,37,38,23305
States,Vermont,2017,41,X,0.617708,X,X,X,X,X,X,18,10,2914
States,Virginia,2017,41,X,1.28371,X,X,X,X,X,X,1141,127,88883
States,Washington,2017,41,X,0.292642,X,X,X,X,X,X,28,51,9568
States,West Virginia,2017,41,X,0.876033,X,X,X,X,X,X,106,30,12100
States,Wisconsin,2017,41,X,1.52994,X,X,X,X,X,X,105,25,6863
States,Wyoming,2017,41,X,1.90188,X,X,X,X,X,X,88,22,4627
States,Alabama,2017,42,X,1.83131,X,X,X,X,X,X,710,85,38770
States,Alaska,2017,42,X,3.72405,X,X,X,X,X,X,183,16,4914
States,Arizona,2017,42,X,1.87281,X,X,X,X,X,X,374,45,19970
States,Arkansas,2017,42,X,0.788999,X,X,X,X,X,X,35,17,4436
States,California,2017,42,X,1.56714,X,X,X,X,X,X,823,117,52516
States,Colorado,2017,42,X,0.644714,X,X,X,X,X,X,158,42,24507
States,Connecticut,2017,42,X,1.07119,X,X,X,X,X,X,48,16,4481
States,Delaware,2017,42,X,0.0327869,X,X,X,X,X,X,1,13,3050
States,District of Columbia,2017,42,X,2.0171,X,X,X,X,X,X,302,5,14972
States,Florida,2017,42,X,X,X,X,X,X,X,X,X,X,X
States,Georgia,2017,42,X,2.10223,X,X,X,X,X,X,1022,51,48615
States,Hawaii,2017,42,X,2.20453,X,X,X,X,X,X,36,17,1633
States,Idaho,2017,42,X,0.367647,X,X,X,X,X,X,5,6,1360
States,Illinois,2017,42,X,1.00391,X,X,X,X,X,X,485,81,48311
States,Indiana,2017,42,X,1.34346,X,X,X,X,X,X,69,24,5136
States,Iowa,2017,42,X,0.22733,X,X,X,X,X,X,9,14,3959
States,Kansas,2017,42,X,0.948213,X,X,X,X,X,X,65,31,6855
States,Kentucky,2017,42,X,0.975701,X,X,X,X,X,X,104,33,10659
States,Louisiana,2017,42,X,2.80864,X,X,X,X,X,X,1484,93,52837
States,Maine,2017,42,X,0.797085,X,X,X,X,X,X,35,25,4391
States,Maryland,2017,42,X,0.805459,X,X,X,X,X,X,72,41,8939
States,Massachusetts,2017,42,X,0.807923,X,X,X,X,X,X,279,45,34533
States,Michigan,2017,42,X,1.34334,X,X,X,X,X,X,374,85,27841
States,Minnesota,2017,42,X,1.42129,X,X,X,X,X,X,106,24,7458
States,Mississippi,2017,42,X,2.14188,X,X,X,X,X,X,314,41,14660
States,Missouri,2017,42,X,0.779459,X,X,X,X,X,X,34,19,4362
States,Montana,2017,42,X,0.0586166,X,X,X,X,X,X,2,8,3412
States,Nebraska,2017,42,X,1.82091,X,X,X,X,X,X,206,48,11313
States,Nevada,2017,42,X,0.763787,X,X,X,X,X,X,136,35,17806
States,New Hampshire,2017,42,X,0.454933,X,X,X,X,X,X,16,18,3517
States,New Jersey,2017,42,X,2.07137,X,X,X,X,X,X,552,42,26649
States,New Mexico,2017,42,X,0.933821,X,X,X,X,X,X,161,36,17241
States,New York,2017,42,X,1.37308,X,X,X,X,X,X,187,53,13619
States,North Carolina,2017,42,X,1.01247,X,X,X,X,X,X,160,47,15803
States,North Dakota,2017,42,X,0.413223,X,X,X,X,X,X,3,5,726
States,Ohio,2017,42,X,0.684592,X,X,X,X,X,X,138,64,20158
States,Oklahoma,2017,42,X,1.77271,X,X,X,X,X,X,146,25,8236
States,Oregon,2017,42,X,1.10127,X,X,X,X,X,X,378,77,34324
States,Pennsylvania,2017,42,X,0.926832,X,X,X,X,X,X,587,146,63334
States,Rhode Island,2017,42,X,0.473416,X,X,X,X,X,X,26,23,5492
States,South Carolina,2017,42,X,1.84262,X,X,X,X,X,X,133,15,7218
States,South Dakota,2017,42,X,1.59663,X,X,X,X,X,X,163,32,10209
States,Tennessee,2017,42,X,0.595094,X,X,X,X,X,X,49,49,8234
States,Texas,2017,42,X,2.13774,X,X,X,X,X,X,641,111,29985
States,Utah,2017,42,X,0.223493,X,X,X,X,X,X,52,38,23267
States,Vermont,2017,42,X,0.383275,X,X,X,X,X,X,11,10,2870
States,Virginia,2017,42,X,1.43663,X,X,X,X,X,X,1240,126,86313
States,Washington,2017,42,X,0.431838,X,X,X,X,X,X,44,52,10189
States,West Virginia,2017,42,X,0.693255,X,X,X,X,X,X,85,32,12261
States,Wisconsin,2017,42,X,1.50619,X,X,X,X,X,X,107,25,7104
States,Wyoming,2017,42,X,1.06975,X,X,X,X,X,X,50,22,4674
States,Alabama,2017,43,X,2.09091,X,X,X,X,X,X,799,86,38213
States,Alaska,2017,43,X,3.28407,X,X,X,X,X,X,160,17,4872
States,Arizona,2017,43,X,2.10657,X,X,X,X,X,X,408,45,19368
States,Arkansas,2017,43,X,1.35109,X,X,X,X,X,X,70,17,5181
States,California,2017,43,X,1.72325,X,X,X,X,X,X,906,118,52575
States,Colorado,2017,43,X,0.60276,X,X,X,X,X,X,145,42,24056
States,Connecticut,2017,43,X,1.34836,X,X,X,X,X,X,67,20,4969
States,Delaware,2017,43,X,0.104603,X,X,X,X,X,X,3,13,2868
States,District of Columbia,2017,43,X,1.85678,X,X,X,X,X,X,279,5,15026
States,Florida,2017,43,X,X,X,X,X,X,X,X,X,X,X
States,Georgia,2017,43,X,2.36327,X,X,X,X,X,X,1165,51,49296
States,Hawaii,2017,43,X,2.2756,X,X,X,X,X,X,36,16,1582
States,Idaho,2017,43,X,0.444162,X,X,X,X,X,X,7,7,1576
States,Illinois,2017,43,X,1.13777,X,X,X,X,X,X,535,81,47022
States,Indiana,2017,43,X,1.54462,X,X,X,X,X,X,81,23,5244
States,Iowa,2017,43,X,0.259128,X,X,X,X,X,X,11,14,4245
States,Kansas,2017,43,X,1.1929,X,X,X,X,X,X,82,30,6874
States,Kentucky,2017,43,X,1.46052,X,X,X,X,X,X,160,34,10955
States,Louisiana,2017,43,X,3.08264,X,X,X,X,X,X,1594,93,51709
States,Maine,2017,43,X,0.782732,X,X,X,X,X,X,33,24,4216
States,Maryland,2017,43,X,0.906307,X,X,X,X,X,X,74,27,8165
States,Massachusetts,2017,43,X,0.9611,X,X,X,X,X,X,337,44,35064
States,Michigan,2017,43,X,1.37719,X,X,X,X,X,X,376,86,27302
States,Minnesota,2017,43,X,1.24153,X,X,X,X,X,X,88,23,7088
States,Mississippi,2017,43,X,2.80514,X,X,X,X,X,X,467,45,16648
States,Missouri,2017,43,X,0.877785,X,X,X,X,X,X,39,18,4443
States,Montana,2017,43,X,0.0565451,X,X,X,X,X,X,2,8,3537
States,Nebraska,2017,43,X,1.89781,X,X,X,X,X,X,208,48,10960
States,Nevada,2017,43,X,0.614713,X,X,X,X,X,X,124,35,20172
States,New Hampshire,2017,43,X,0.645705,X,X,X,X,X,X,23,17,3562
States,New Jersey,2017,43,X,2.04932,X,X,X,X,X,X,546,42,26643
States,New Mexico,2017,43,X,0.856146,X,X,X,X,X,X,157,40,18338
States,New York,2017,43,X,1.36996,X,X,X,X,X,X,198,56,14453
States,North Carolina,2017,43,X,1.37457,X,X,X,X,X,X,244,48,17751
States,North Dakota,2017,43,X,0.564617,X,X,X,X,X,X,9,8,1594
States,Ohio,2017,43,X,0.7415,X,X,X,X,X,X,152,64,20499
States,Oklahoma,2017,43,X,1.88569,X,X,X,X,X,X,162,25,8591
States,Oregon,2017,43,X,1.08745,X,X,X,X,X,X,387,80,35588
States,Pennsylvania,2017,43,X,0.975943,X,X,X,X,X,X,557,145,57073
States,Rhode Island,2017,43,X,0.622665,X,X,X,X,X,X,35,22,5621
States,South Carolina,2017,43,X,2.71521,X,X,X,X,X,X,176,16,6482
States,South Dakota,2017,43,X,1.85647,X,X,X,X,X,X,201,32,10827
States,Tennessee,2017,43,X,0.643559,X,X,X,X,X,X,57,47,8857
States,Texas,2017,43,X,2.34254,X,X,X,X,X,X,710,111,30309
States,Utah,2017,43,X,0.542289,X,X,X,X,X,X,57,39,10511
States,Vermont,2017,43,X,0.630601,X,X,X,X,X,X,19,10,3013
States,Virginia,2017,43,X,1.61552,X,X,X,X,X,X,1434,128,88764
States,Washington,2017,43,X,0.291595,X,X,X,X,X,X,17,45,5830
States,West Virginia,2017,43,X,0.790368,X,X,X,X,X,X,107,34,13538
States,Wisconsin,2017,43,X,1.79819,X,X,X,X,X,X,121,23,6729
States,Wyoming,2017,43,X,2.00795,X,X,X,X,X,X,96,22,4781
States,Alabama,2017,44,X,2.45603,X,X,X,X,X,X,979,86,39861
States,Alaska,2017,44,X,2.76712,X,X,X,X,X,X,137,17,4951
States,Arizona,2017,44,X,2.58309,X,X,X,X,X,X,471,43,18234
States,Arkansas,2017,44,X,1.18,X,X,X,X,X,X,63,16,5339
States,California,2017,44,X,1.98355,X,X,X,X,X,X,948,120,47793
States,Colorado,2017,44,X,0.790138,X,X,X,X,X,X,191,42,24173
States,Connecticut,2017,44,X,1.35031,X,X,X,X,X,X,70,20,5184
States,Delaware,2017,44,X,0.529501,X,X,X,X,X,X,14,13,2644
States,District of Columbia,2017,44,X,1.65856,X,X,X,X,X,X,232,5,13988
States,Florida,2017,44,X,X,X,X,X,X,X,X,X,X,X
States,Georgia,2017,44,X,2.57306,X,X,X,X,X,X,1208,51,46948
States,Hawaii,2017,44,X,2.40497,X,X,X,X,X,X,31,16,1289
States,Idaho,2017,44,X,0.948167,X,X,X,X,X,X,15,7,1582
States,Illinois,2017,44,X,1.1868,X,X,X,X,X,X,549,79,46259
States,Indiana,2017,44,X,1.72414,X,X,X,X,X,X,80,24,4640
States,Iowa,2017,44,X,0.484429,X,X,X,X,X,X,21,14,4335
States,Kansas,2017,44,X,1.26354,X,X,X,X,X,X,84,30,6648
States,Kentucky,2017,44,X,1.6751,X,X,X,X,X,X,182,35,10865
States,Louisiana,2017,44,X,3.64463,X,X,X,X,X,X,1933,93,53037
States,Maine,2017,44,X,0.411765,X,X,X,X,X,X,14,25,3400
States,Maryland,2017,44,X,0.796359,X,X,X,X,X,X,70,28,8790
States,Massachusetts,2017,44,X,0.995875,X,X,X,X,X,X,338,46,33940
States,Michigan,2017,44,X,1.24986,X,X,X,X,X,X,343,87,27443
States,Minnesota,2017,44,X,1.36721,X,X,X,X,X,X,99,24,7241
States,Mississippi,2017,44,X,3.16718,X,X,X,X,X,X,413,38,13040
States,Missouri,2017,44,X,1.1684,X,X,X,X,X,X,92,21,7874
States,Montana,2017,44,X,0.194121,X,X,X,X,X,X,7,8,3606
States,Nebraska,2017,44,X,2.09036,X,X,X,X,X,X,223,48,10668
States,Nevada,2017,44,X,0.94144,X,X,X,X,X,X,168,35,17845
States,New Hampshire,2017,44,X,0.720504,X,X,X,X,X,X,24,18,3331
States,New Jersey,2017,44,X,2.28275,X,X,X,X,X,X,580,33,25408
States,New Mexico,2017,44,X,1.12924,X,X,X,X,X,X,200,39,17711
States,New York,2017,44,X,1.50787,X,X,X,X,X,X,204,54,13529
States,North Carolina,2017,44,X,1.48312,X,X,X,X,X,X,282,49,19014
States,North Dakota,2017,44,X,0.464756,X,X,X,X,X,X,6,7,1291
States,Ohio,2017,44,X,0.728745,X,X,X,X,X,X,162,64,22230
States,Oklahoma,2017,44,X,2.24642,X,X,X,X,X,X,196,25,8725
States,Oregon,2017,44,X,1.2964,X,X,X,X,X,X,454,79,35020
States,Pennsylvania,2017,44,X,1.10597,X,X,X,X,X,X,664,147,60038
States,Rhode Island,2017,44,X,0.514641,X,X,X,X,X,X,29,23,5635
States,South Carolina,2017,44,X,2.97074,X,X,X,X,X,X,198,17,6665
States,South Dakota,2017,44,X,1.87634,X,X,X,X,X,X,193,32,10286
States,Tennessee,2017,44,X,1.1645,X,X,X,X,X,X,111,47,9532
States,Texas,2017,44,X,3.24542,X,X,X,X,X,X,774,76,23849
States,Utah,2017,44,X,0.193697,X,X,X,X,X,X,48,41,24781
States,Vermont,2017,44,X,0.492091,X,X,X,X,X,X,14,10,2845
States,Virginia,2017,44,X,1.68481,X,X,X,X,X,X,1495,130,88734
States,Washington,2017,44,X,0.583542,X,X,X,X,X,X,49,37,8397
States,West Virginia,2017,44,X,0.808548,X,X,X,X,X,X,84,35,10389
States,Wisconsin,2017,44,X,1.56527,X,X,X,X,X,X,106,25,6772
States,Wyoming,2017,44,X,1.87668,X,X,X,X,X,X,84,21,4476
States,Alabama,2017,45,X,2.39313,X,X,X,X,X,X,964,84,40282
States,Alaska,2017,45,X,2.97049,X,X,X,X,X,X,149,17,5016
States,Arizona,2017,45,X,2.02104,X,X,X,X,X,X,317,39,15685
States,Arkansas,2017,45,X,1.19928,X,X,X,X,X,X,60,16,5003
States,California,2017,45,X,1.90851,X,X,X,X,X,X,950,124,49777
States,Colorado,2017,45,X,0.899244,X,X,X,X,X,X,220,42,24465
States,Connecticut,2017,45,X,1.43927,X,X,X,X,X,X,73,18,5072
States,Delaware,2017,45,X,0.186081,X,X,X,X,X,X,5,13,2687
States,District of Columbia,2017,45,X,2.23842,X,X,X,X,X,X,304,5,13581
States,Florida,2017,45,X,X,X,X,X,X,X,X,X,X,X
States,Georgia,2017,45,X,3.09381,X,X,X,X,X,X,1466,50,47385
States,Hawaii,2017,45,X,3.55286,X,X,X,X,X,X,41,15,1154
States,Idaho,2017,45,X,0.530705,X,X,X,X,X,X,7,7,1319
States,Illinois,2017,45,X,1.35089,X,X,X,X,X,X,633,80,46858
States,Indiana,2017,45,X,1.28018,X,X,X,X,X,X,70,25,5468
States,Iowa,2017,45,X,0.550826,X,X,X,X,X,X,22,13,3994
States,Kansas,2017,45,X,1.67403,X,X,X,X,X,X,125,31,7467
States,Kentucky,2017,45,X,1.60245,X,X,X,X,X,X,173,33,10796
States,Louisiana,2017,45,X,3.97187,X,X,X,X,X,X,2112,93,53174
States,Maine,2017,45,X,0.52506,X,X,X,X,X,X,22,24,4190
States,Maryland,2017,45,X,1.07304,X,X,X,X,X,X,88,27,8201
States,Massachusetts,2017,45,X,1.20766,X,X,X,X,X,X,441,44,36517
States,Michigan,2017,45,X,1.5819,X,X,X,X,X,X,442,88,27941
States,Minnesota,2017,45,X,1.42363,X,X,X,X,X,X,107,24,7516
States,Mississippi,2017,45,X,4.40056,X,X,X,X,X,X,820,47,18634
States,Missouri,2017,45,X,0.99566,X,X,X,X,X,X,78,21,7834
States,Montana,2017,45,X,0.128164,X,X,X,X,X,X,4,8,3121
States,Nebraska,2017,45,X,2.57595,X,X,X,X,X,X,145,48,5629
States,Nevada,2017,45,X,1.04433,X,X,X,X,X,X,188,35,18002
States,New Hampshire,2017,45,X,0.613497,X,X,X,X,X,X,22,18,3586
States,New Jersey,2017,45,X,2.42165,X,X,X,X,X,X,612,42,25272
States,New Mexico,2017,45,X,1.45385,X,X,X,X,X,X,258,38,17746
States,New York,2017,45,X,1.61033,X,X,X,X,X,X,232,56,14407
States,North Carolina,2017,45,X,1.56343,X,X,X,X,X,X,263,51,16822
States,North Dakota,2017,45,X,0.840336,X,X,X,X,X,X,10,6,1190
States,Ohio,2017,45,X,0.863189,X,X,X,X,X,X,186,68,21548
States,Oklahoma,2017,45,X,2.64264,X,X,X,X,X,X,239,26,9044
States,Oregon,2017,45,X,1.49438,X,X,X,X,X,X,520,80,34797
States,Pennsylvania,2017,45,X,1.21881,X,X,X,X,X,X,764,148,62684
States,Rhode Island,2017,45,X,0.656676,X,X,X,X,X,X,39,23,5939
States,South Carolina,2017,45,X,2.92239,X,X,X,X,X,X,215,17,7357
States,South Dakota,2017,45,X,2.30755,X,X,X,X,X,X,244,32,10574
States,Tennessee,2017,45,X,1.66189,X,X,X,X,X,X,174,54,10470
States,Texas,2017,45,X,3.67219,X,X,X,X,X,X,1109,109,30200
States,Utah,2017,45,X,0.13259,X,X,X,X,X,X,34,38,25643
States,Vermont,2017,45,X,0.580084,X,X,X,X,X,X,18,10,3103
States,Virginia,2017,45,X,1.78649,X,X,X,X,X,X,1571,130,87938
States,Washington,2017,45,X,0.631966,X,X,X,X,X,X,55,51,8703
States,West Virginia,2017,45,X,0.685746,X,X,X,X,X,X,98,35,14291
States,Wisconsin,2017,45,X,1.74763,X,X,X,X,X,X,118,25,6752
States,Wyoming,2017,45,X,1.69779,X,X,X,X,X,X,70,20,4123
States,Alabama,2017,46,X,2.74821,X,X,X,X,X,X,1100,86,40026
States,Alaska,2017,46,X,3.41268,X,X,X,X,X,X,162,17,4747
States,Arizona,2017,46,X,2.40829,X,X,X,X,X,X,451,45,18727
States,Arkansas,2017,46,X,2.12528,X,X,X,X,X,X,114,18,5364
States,California,2017,46,X,1.99801,X,X,X,X,X,X,1024,126,51251
States,Colorado,2017,46,X,1.01535,X,X,X,X,X,X,256,42,25213
States,Connecticut,2017,46,X,1.72589,X,X,X,X,X,X,85,20,4925
States,Delaware,2017,46,X,0.106308,X,X,X,X,X,X,3,13,2822
States,District of Columbia,2017,46,X,2.31138,X,X,X,X,X,X,352,5,15229
States,Florida,2017,46,X,X,X,X,X,X,X,X,X,X,X
States,Georgia,2017,46,X,3.18277,X,X,X,X,X,X,1541,51,48417
States,Hawaii,2017,46,X,3.01659,X,X,X,X,X,X,40,15,1326
States,Idaho,2017,46,X,0.646088,X,X,X,X,X,X,9,6,1393
States,Illinois,2017,46,X,1.29322,X,X,X,X,X,X,610,80,47169
States,Indiana,2017,46,X,1.01897,X,X,X,X,X,X,58,25,5692
States,Iowa,2017,46,X,0.390356,X,X,X,X,X,X,17,13,4355
States,Kansas,2017,46,X,2.00135,X,X,X,X,X,X,148,31,7395
States,Kentucky,2017,46,X,2.17625,X,X,X,X,X,X,243,35,11166
States,Louisiana,2017,46,X,4.34214,X,X,X,X,X,X,2422,94,55779
States,Maine,2017,46,X,0.805048,X,X,X,X,X,X,37,25,4596
States,Maryland,2017,46,X,1.97863,X,X,X,X,X,X,150,26,7581
States,Massachusetts,2017,46,X,1.27454,X,X,X,X,X,X,472,46,37033
States,Michigan,2017,46,X,1.50287,X,X,X,X,X,X,395,89,26283
States,Minnesota,2017,46,X,1.64262,X,X,X,X,X,X,115,23,7001
States,Mississippi,2017,46,X,5.2879,X,X,X,X,X,X,1080,48,20424
States,Missouri,2017,46,X,1.26502,X,X,X,X,X,X,100,21,7905
States,Montana,2017,46,X,0.108196,X,X,X,X,X,X,4,7,3697
States,Nebraska,2017,46,X,2.63039,X,X,X,X,X,X,232,48,8820
States,Nevada,2017,46,X,0.932615,X,X,X,X,X,X,173,36,18550
States,New Hampshire,2017,46,X,0.375171,X,X,X,X,X,X,11,14,2932
States,New Jersey,2017,46,X,2.4597,X,X,X,X,X,X,647,42,26304
States,New Mexico,2017,46,X,1.50014,X,X,X,X,X,X,427,39,28464
States,New York,2017,46,X,1.6294,X,X,X,X,X,X,239,56,14668
States,North Carolina,2017,46,X,1.83144,X,X,X,X,X,X,354,51,19329
States,North Dakota,2017,46,X,0.45283,X,X,X,X,X,X,6,7,1325
States,Ohio,2017,46,X,0.910986,X,X,X,X,X,X,201,60,22064
States,Oklahoma,2017,46,X,2.53975,X,X,X,X,X,X,230,24,9056
States,Oregon,2017,46,X,1.26472,X,X,X,X,X,X,536,79,42381
States,Pennsylvania,2017,46,X,1.28185,X,X,X,X,X,X,810,148,63190
States,Rhode Island,2017,46,X,0.665415,X,X,X,X,X,X,39,23,5861
States,South Carolina,2017,46,X,3.13541,X,X,X,X,X,X,226,15,7208
States,South Dakota,2017,46,X,2.72443,X,X,X,X,X,X,305,32,11195
States,Tennessee,2017,46,X,1.45126,X,X,X,X,X,X,138,49,9509
States,Texas,2017,46,X,4.41976,X,X,X,X,X,X,1365,110,30884
States,Utah,2017,46,X,0.316315,X,X,X,X,X,X,64,40,20233
States,Vermont,2017,46,X,0.737265,X,X,X,X,X,X,22,10,2984
States,Virginia,2017,46,X,2.02666,X,X,X,X,X,X,1814,130,89507
States,Washington,2017,46,X,0.554481,X,X,X,X,X,X,43,51,7755
States,West Virginia,2017,46,X,0.81079,X,X,X,X,X,X,107,36,13197
States,Wisconsin,2017,46,X,0.937183,X,X,X,X,X,X,37,24,3948
States,Wyoming,2017,46,X,0.981006,X,X,X,X,X,X,47,21,4791
